breed,description,temperament,popularity,min_height,max_height,min_weight,max_weight,min_expectancy,max_expectancy,group,grooming_frequency_value,grooming_frequency_category,shedding_value,shedding_category,energy_level_value,energy_level_category,trainability_value,trainability_category,demeanor_value,demeanor_category
Affenpinscher,"Penampilan Affen yang seperti api telah dijelaskan dengan berbagai cara. Mereka disebut “anjing monyet” dan “anjing terrier kera”. Orang Prancis mengatakan diablotin moustachu (“setan kecil berkumis”), dan penggemar Star Wars berdebat apakah mereka lebih mirip Wookie atau Ewoks. Dengan tinggi badan kurang dari satu kaki, anjing kokoh mirip terrier ini menjalani kehidupan dengan penuh percaya diri. “Ini bukan ras yang Anda latih,” seorang pawang anjing profesional memberi tahu kami, “Dia seperti manusia. Kamu berteman dengannya.” Bulunya yang lebat dan kasar digambarkan “rapi tapi berbulu” dan tersedia dalam beberapa warna; gaya berjalannya ringan dan percaya diri. Mereka bisa saja berkemauan keras dan mendominasi, tetapi kebanyakan orang Affen setia, penuh kasih sayang, dan selalu menghibur. Orang Affen mengatakan mereka senang dimiliki oleh anjing monyet kecil mereka. The Affenpinscher: setia, ingin tahu, dan terkenal lucu; anjing mainan yang hampir seperti manusia ini tidak kenal takut melebihi ukuran tubuhnya. Seperti halnya semua komedian hebat, keseriusan tujuan Affenpinscherlah yang membuat kejenakaannya semakin lucu.","Percaya Diri, Terkenal Lucu, Tak Takut",148,22.86,29.21,3.17514659,4.535923700000001,12.0,15.0,Toy Group,0.6,Menyikat Gigi 2-3 Kali Seminggu,0.6,Musiman,0.6,Latihan rutin,0.8,Pelatihan Mudah,1.0,Keluar
Afghan Hound,"Afghan Hound adalah ras kuno, seluruh penampilannya bermartabat dan acuh tak acuh – matanya menatap ke kejauhan seolah mengenang masa lalu. Pikiran yang cerdas dan mandiri, seluruh penampilannya bermartabat dan bergaya. Bagi dirinya sendiri, dia berbakti dan setia dengan kepribadian yang menawan dan lincah. Afghan Hound adalah atlet yang memiliki kecepatan luar biasa dan membutuhkan halaman berpagar luas serta berolahraga setiap hari. Sejak zaman kuno, Afghan Hound terkenal karena kecantikannya yang anggun. Namun bulunya yang tebal, halus, dan mengalir yang merupakan puncak kejayaan ras ini bukan hanya untuk pamer – tapi juga berfungsi sebagai perlindungan dari iklim keras di daerah pegunungan tempat orang Afghanistan awalnya mencari nafkah. Di balik penampilan luarnya yang glamor, terdapat seekor anjing pemburu yang kuat dan lincah — dengan tinggi bahu mencapai 27 inci — yang dibuat untuk berburu sepanjang hari. Bantalan kaki mereka yang besar bertindak sebagai peredam kejut di medan yang berat di tanah air mereka. Afghan Hound adalah ras khusus untuk orang-orang istimewa. Seorang pakar ras menulis, “Ini bukan ras yang cocok untuk semua calon pemilik anjing, namun jika kombinasi antara anjing dan pemiliknya tepat, tidak ada hewan yang dapat menandingi Afghan Hound sebagai hewan peliharaan.” Afghan Hound adalah seorang bangsawan yang menyendiri dan bermartabat dengan kecantikan yang luar biasa. Meskipun berpenampilan anggun, ia dikenal karena kesetiaannya yang dalam, sifat sensitifnya, dan cintanya yang mutlak kepada orang-orang yang ia anggap miliknya.","Bermartabat, Sangat Setia, Aristokrat",113,63.5,68.58,22.6796185,27.2155422,12.0,15.0,Hound Group,0.8,Menyikat Setiap Hari,0.2,Jarang,0.8,Energik,0.2,Mungkin keras kepala,0.2,Menyendiri/Waspada
Airedale Terrier,"Airedale Terrier adalah yang terbesar dari semua ras terrier. Laki-laki berdiri sekitar 23 inci di bahu, perempuan sedikit lebih kecil. Bulunya yang padat dan kurus berwarna cokelat dengan corak hitam. Kaki yang panjang dan berotot memberi Airedales kesan anggun, dan kepala yang panjang—dengan janggut dan kumis yang sporty, mata gelap, dan telinga yang terlipat rapi—menunjukkan kecerdasan yang tajam. Airedales adalah gambaran seekor anjing terrier yang waspada dan rela—hanya saja lebih besar. Dan, seperti sepupunya yang lebih kecil di keluarga terrier, dia berani, tekun, dan keras kepala. Airedales patuh dan sabar terhadap anak-anak tetapi tidak akan mundur saat melindungi perapian dan rumah. Berkat sikap mereka yang terkenal melakukan segalanya, Airedales unggul dalam semua jenis olahraga dan aktivitas keluarga. Ukuran tubuh, kekuatan, dan semangatnya yang tak pernah padam membuat Airedale Terrier mendapat julukan “Raja Terrier”. Airedale merupakan salah satu ras anjing paling serbaguna di dunia dan menonjol sebagai pemburu, atlet, dan pendamping.","Ramah, Pintar, Berani",60,58.42,58.42,22.6796185,31.751465900000003,11.0,14.0,Terrier Group,0.6,Menyikat Gigi 2-3 Kali Seminggu,0.4,Sesekali,0.6,Latihan rutin,1.0,Ingin menyenangkan,0.8,Ramah
Akita,"Akita adalah anjing jenis Spitz yang kekar dan bertulang berat dengan perawakan yang mengesankan. Dengan tinggi 24 hingga 28 inci di bahu, Akita memiliki bulu tebal yang tersedia dalam beberapa warna, termasuk putih. Kepalanya lebar dan besar, dan di bagian belakang diimbangi dengan ekor yang penuh dan melengkung. Telinga yang tegak dan mata yang gelap dan bersinar berkontribusi pada ekspresi kewaspadaan, ciri khas dari ras ini. Akita adalah anjing yang pendiam dan cerewet. Waspada terhadap orang asing dan seringkali tidak toleran terhadap hewan lain, Akita dengan senang hati akan berbagi sisi konyol dan penuh kasih sayang mereka dengan keluarga dan teman. Mereka berkembang dalam persahabatan manusia. Akita yang besar dan berpikiran mandiri terprogram untuk melindungi orang-orang yang mereka cintai. Mereka harus disosialisasikan dengan baik sejak lahir dengan manusia dan anjing lain. Akita adalah anjing berotot dan berlapis ganda dari garis keturunan Jepang kuno yang terkenal karena martabat, keberanian, dan kesetiaannya. Di tanah kelahirannya, mereka dihormati sebagai pelindung keluarga dan simbol kesehatan, kebahagiaan, dan umur panjang.","Berani, Bermartabat, Sangat Setia",47,60.96,71.12,31.751465900000003,58.9670081,10.0,13.0,Working Group,0.8,Menyikat Setiap Hari,0.6,Musiman,0.8,Energik,1.0,Ingin menyenangkan,0.6,Waspada/Responsif
Alaskan Malamute,"Alaska Malamute memiliki tinggi 23 hingga 25 inci di bahu dan berat 75 hingga 85 pon. Segala sesuatu tentang Mals menunjukkan asal usul mereka sebagai anjing kereta luncur Arktik: Tulang yang berat, dada yang dalam, bahu yang kuat, dan bulu yang tebal dan tahan cuaca semuanya berteriak, “Saya bekerja keras untuk mencari nafkah!” Namun mata coklat mereka yang berbentuk almond memiliki kilauan penuh kasih sayang, menunjukkan bahwa Mal senang meringkuk dengan manusianya ketika hari kerja selesai. Mal adalah hewan paket. Dan dalam “kelompok” keluarga Anda, pemimpinnya pastilah Anda. Jika seorang Mal tidak menghormati Anda, dialah yang akan memiliki Anda, bukan sebaliknya. Pelatihan yang tegas namun penuh kasih harus dimulai sejak masa kanak-kanak. Meski begitu, Mal yang berperilaku baik adalah hal yang menyenangkan—ceria, lembut, ramah, dan baik terhadap anak-anak. Anjing jenis Spitz yang sangat kuat dan tugas berat, Alaskan Malamute adalah anjing yang penuh kasih sayang, setia, dan suka bermain namun bermartabat, yang dapat dikenali dari ekornya yang berbulu halus dan dibawa ke punggung, telinga yang tegak, dan tulang yang besar.","Penuh kasih sayang, Setia, Menyenangkan",58,58.42,63.5,34.01942775,38.55535145,10.0,14.0,Working Group,0.6,Menyikat Gigi 2-3 Kali Seminggu,0.6,Musiman,0.8,Energik,0.4,Mandiri,0.8,Ramah
American Bulldog,"Bulldog Amerika adalah keturunan dari Bulldog Inggris. Bulldog diyakini sudah ada di Amerika sejak abad ke-17. Mereka datang ke Amerika Serikat pada tahun 1800-an, bersama para imigran yang membawa serta anjing bulldog pekerja mereka. Petani kecil dan peternak menggunakan anjing pekerja serba bisa ini untuk banyak tugas termasuk penjaga peternakan, memelihara anjing, dan menangkap anjing. Ras ini sebagian besar bertahan, khususnya di negara bagian selatan, karena kemampuannya dalam memburu dan menangkap babi liar. Ras yang kita kenal sebagai American Bulldog awalnya dikenal dengan banyak nama berbeda sebelum nama American Bulldog menjadi standar. Di berbagai belahan Selatan, ia dikenal sebagai White English Southern Bulldog, tetapi yang paling umum hanyalah “bulldog”. Trah ini disebut bulldog bukan karena penampilannya, tetapi karena mereka benar-benar melakukan pekerjaan bulldog. Informasi Kontak BreedKatrina HuffmasterTelepon: 850-519-3089 American Bulldogs adalah anjing atletik seimbang yang menunjukkan kekuatan, daya tahan, kelincahan, dan sikap ramah yang luar biasa. Secara historis, mereka dibiakkan untuk menjadi anjing utilitas yang digunakan untuk bekerja di peternakan.","Setia, Percaya Diri",,50.8,63.5,27.2155422,45.359237,10.0,12.0,Foundation Stock Service,0.2,Sesekali Mandi/Sikat,0.6,Musiman,0.8,Energik,0.6,Menyenangkan,0.6,Waspada/Responsif
American English Coonhound,"Berdiri setinggi 26 inci di bahu, American English Coonhound adalah atlet berdada dalam dan berwajah manis yang disukai oleh olahragawan karena kecepatan dan daya tahannya. Dibentangkan erat pada tubuh atletiknya adalah mantel berukuran sedang dengan berbagai pola, beberapa dengan pola berdetak. Kepalanya lebar dengan tengkorak berbentuk kubah, dengan telinga yang lembut dan terkulai rendah serta mata berwarna coklat tua yang bersinar dengan kehangatan dan kebaikan. American English Coonhound bersikap lembut saat tidak bertugas tetapi ulet dan keras kepala dalam mengejar mangsanya yang berekor cincin. Dorongan kerja dan energi mereka, kesabaran yang diperlukan untuk melatih mereka melakukan hal-hal selain berburu coon, dan gonggongan mereka yang keras dan nyaring dapat membuat ras ini tidak cocok sebagai hewan peliharaan di rumah bagi pemilik pemula. Beberapa penggemar berat American English Coonhounds merasa bahwa tanpa saluran olahraga untuk kebaikan ras anjing ini, Anda hanya menyia-nyiakan anjing yang baik. Anjing-anjing yang ramping dan bersemangat, ramping namun berotot ini bekerja dari senja hingga fajar untuk mengejar rakun yang cerdik. Pemandangan Coonhound Inggris Amerika menerobos hutan yang diterangi cahaya bulan, dengan kekuatan dan tekad yang kuat, sambil meneriakkan musik malam mereka yang sehat, adalah surga bagi para pemburu coon.","Manis, Lembut, Ramah",175,58.42,66.04,20.41165665,29.48350405,11.0,12.0,Hound Group,0.2,Sesekali Mandi/Sikat,0.4,Sesekali,0.8,Energik,0.6,Menyenangkan,0.6,Waspada/Responsif
American Eskimo Dog,"Anjing American Eskimo hadir dalam tiga ukuran—standar, miniatur, dan mainan—dengan tinggi bahu 19 inci atau sependek 9 inci. Ciri khasnya antara lain mantel putih lebat berkilau dengan ruff mirip singa di sekitar dada dan bahu; wajah tersenyum, dengan hidung, bibir, dan pinggiran mata hitam yang menunjukkan ekspresi tajam dan cerdas; dan ekor berbulu dibawa ke belakang. Beberapa orang Eski memiliki tanda dengan nama warna lezat “krim biskuit”. Mereka bergerak dengan gaya berjalan yang berani dan lincah. Orang Eski adalah hewan sosial dan dapat mengembangkan perilaku bermasalah jika diabaikan atau kurang dilatih—mereka bersikeras untuk menjadi bagian dari kehidupan keluarga. Di antara ras yang paling mudah dilatih, Eskie yang pandai dan ramah terhadap anak-anak praktis menciptakan ungkapan “bersemangat untuk menyenangkan.” Anjing Eskimo Amerika memadukan ketampanan yang mencolok dengan pikiran yang cepat dan cerdas dalam satu paket kecerdasan dan kecantikan total. Tidak pemalu atau agresif, orang Eski selalu waspada dan ramah, meski sedikit konservatif saat mencari teman baru.","Ceria, Ceria, Cerdas",122,22.86,48.26,2.72155422,15.875732950000002,13.0,15.0,Non-Sporting Group,0.4,Menyikat Gigi Mingguan,0.6,Musiman,0.8,Energik,1.0,Ingin menyenangkan,1.0,Keluar
American Foxhound,"American Foxhounds adalah pemburu yang ramping dan lincah yang terkenal karena kecepatan, daya tahan, dan etos kerjanya. Anda dapat membedakan American Foxhound dari sepupu Inggris mereka, English Foxhound, berdasarkan panjang kakinya—kaki American Foxhound lebih panjang dan tulangnya lebih halus—dan dari pinggang (bagian belakang) American yang sedikit melengkung. Anjing Foxhound Amerika memiliki mata yang besar dan lembut dengan ekspresi yang digambarkan lembut dan memohon. Sejauh ini, bagus sekali. Namun Foxhound hadir dengan pertimbangan khusus. Mereka memerlukan banyak latihan atau mereka akan menjadi depresi dan destruktif. Dorongan mangsa seekor Foxhound harus dikelola. Tangisan keras mereka merdu bagi pecinta anjing tetapi dapat mengganggu tetangga, dan melatih serta membobol rumah jiwa mandiri ini dapat menjadi tantangan berat bagi pemilik pemula. American Foxhound adalah anjing yang baik hati dan tidak banyak perawatan yang cocok dengan anak-anak, anjing, bahkan kucing, tetapi memiliki pertimbangan khusus untuk calon pemiliknya. Mereka terkait erat dengan pahlawan Revolusi dan kawasan perbukitan di Virginia lama.","Mandiri, Santai, Temperamen Manis",186,53.34,63.5,27.2155422,31.751465900000003,11.0,13.0,Hound Group,0.2,Sesekali Mandi/Sikat,0.6,Musiman,0.8,Energik,0.4,Mandiri,0.8,Ramah
American Hairless Terrier,"American Hairless Terrier memiliki tinggi antara 12 hingga 16 inci di bahu, dan tersedia dalam varietas berlapis dan tidak berbulu. Varietas yang tidak berbulu mungkin memiliki alis dan kumis, sedangkan yang dilapisi memiliki bulu pendek dan berkilau. Kulit orang yang tidak berambut halus dan hangat saat disentuh. Kepala yang lebar dan berbentuk baji merupakan ciri khas dari kedua varietas tersebut. Telinga tegak berbentuk V membingkai mata bulat ekspresif yang bersinar karena rasa ingin tahu. Anjing American Hairless bergerak dengan semangat riang dalam langkahnya yang menunjukkan sikap terrier sesungguhnya. Variasi yang tidak berbulu sama hipoalergeniknya dengan anjing. Namun, keadaan tidak berambut memiliki tantangan tersendiri. Sengatan matahari merupakan suatu kekhawatiran, dan cuaca dingin memerlukan tindakan pencegahan khusus. Trah ini melindungi manusianya dan menjadi anjing penjaga yang waspada. American Hairless Terrier, penduduk asli Louisiana, adalah anjing yang cerdas, ingin tahu, dan suka bermain yang hadir dalam varietas tidak berbulu dan berbulu. Dia adalah pilihan yang baik bagi penderita alergi yang menginginkan anjing dengan ketabahan dan keberanian terrier sejati.","Energik, Waspada, Penasaran",136,30.48,40.64,5.4431084400000005,7.25747792,14.0,16.0,Terrier Group,,nan,,nan,,nan,,nan,,nan
